"B1","B2","B3","Bp/Bt","Points:0","Points:1","Points:2","arc_length","p_1","p_2","psi","rho_1","rho_2","v1_1","v1_2","v2_1","v2_2","v3_1","v3_2","vtkValidPointMask"
0.067885,0.037739,0.096121,0.062761,-0.949,0,0,0.051,0.35259,0.41086,-0.00018846,0.55187,0.55295,-0.085736,-0.079229,0.0084628,0.0090217,-0.0016677,-0.00077881,1
0.067885,0.037739,0.096121,0.062761,-0.948,0,0,0.052,0.35259,0.41086,-0.00018846,0.55187,0.55295,-0.085736,-0.079229,0.0084628,0.0090217,-0.0016677,-0.00077881,1
0.06746,0.034288,0.095516,0.059954,-0.947,0,0,0.053,0.35248,0.41074,0.00018845,0.55109,0.55262,-0.087578,-0.080566,0.01327,0.012601,-0.0010794,-0.00050561,1
0.06746,0.034288,0.095516,0.059954,-0.946,0,0,0.054,0.35248,0.41074,0.00018845,0.55109,0.55262,-0.087578,-0.080566,0.01327,0.012601,-0.0010794,-0.00050561,1
0.065257,0.032491,0.095,0.055938,-0.945,0,0,0.055,0.35242,0.41065,0.0005141,0.54989,0.55216,-0.087046,-0.080661,0.016919,0.015465,-0.00065187,-0.00035277,1
0.065257,0.032491,0.095,0.055938,-0.944,0,0,0.056,0.35242,0.41065,0.0005141,0.54989,0.55216,-0.087046,-0.080661,0.016919,0.015465,-0.00065187,-0.00035277,1
0.061937,0.032004,0.094729,0.051309,-0.943,0,0,0.057,0.35237,0.41056,0.00070848,0.54898,0.55178,-0.084814,-0.079774,0.019189,0.017597,-0.0004554,-0.00030074,1
0.061937,0.032004,0.094729,0.051309,-0.942,0,0,0.058,0.35237,0.41056,0.00070848,0.54898,0.55178,-0.084814,-0.079774,0.019189,0.017597,-0.0004554,-0.00030074,1
0.058161,0.032485,0.094858,0.046786,-0.941,0,0,0.059,0.35228,0.41043,0.00069155,0.54904,0.55168,-0.081554,-0.078163,0.019861,0.01898,-0.00056029,-0.00032997,1
0.058161,0.032485,0.094858,0.046786,-0.94,0,0,0.06,0.35228,0.41043,0.00069155,0.54904,0.55168,-0.081554,-0.078163,0.019861,0.01898,-0.00056029,-0.00032997,1
0.054592,0.033592,0.095545,0.043003,-0.939,0,0,0.061,0.35208,0.41021,0.00038328,0.55077,0.55207,-0.077941,-0.076088,0.018715,0.019598,-0.0010369,-0.00042091,1
0.054592,0.033592,0.095545,0.043003,-0.938,0,0,0.062,0.35208,0.41021,0.00038328,0.55077,0.55207,-0.077941,-0.076088,0.018715,0.019598,-0.0010369,-0.00042091,1
0.05144,0.034817,0.096007,0.040187,-0.937,0,0,0.063,0.35208,0.4102,0.00012415,0.55053,0.55209,-0.075463,-0.074568,0.017787,0.020212,-0.0016014,-0.00068663,1
0.05144,0.034817,0.096007,0.040187,-0.936,0,0,0.064,0.35208,0.4102,0.00012415,0.55053,0.55209,-0.075463,-0.074568,0.017787,0.020212,-0.0016014,-0.00068663,1
0.049804,0.035589,0.09589,0.039076,-0.935,0,0,0.065,0.35227,0.41019,0.00020838,0.54898,0.55158,-0.073742,-0.07376,0.018956,0.021792,-0.0017252,-0.00086431,1
0.049804,0.035589,0.09589,0.039076,-0.934,0,0,0.066,0.35227,0.41019,0.00020838,0.54898,0.55158,-0.073742,-0.07376,0.018956,0.021792,-0.0017252,-0.00086431,1
